run,evnum,evname,startsec,endsec
1.1.7,1,prepare_a_bagel,5.3309999999999995,223.21699999999998
1.1.7,2,prepare_hot_oatmeal,223.791,337.308
1.1.7,3,clean_a_surface,340.4865,384.38649999999996
1.1.7,4,prepare_orange_juice,387.7105,430.94100000000003
1.1.7,5,prepare_instant_coffee,432.898,523.736
1.1.7,6,prepare_fresh_fruit,524.1814999999999,613.102
1.1.7,7,prepare_yogurt_with_granola,614.414,730.8085
1.1.8,1,take_a_pill,4.3015,38.4675
1.1.8,2,prepare_instant_coffee,39.4315,130.8425
1.1.8,3,prepare_orange_juice,131.688,159.7675
1.1.8,4,prepare_fresh_fruit,160.44650000000001,264.41700000000003
1.1.8,5,prepare_toast,265.546,428.22900000000004
1.1.8,6,prepare_cereal,428.22950000000003,491.092
1.1.8,7,prepare_a_bagel,492.32000000000005,727.2045
1.1.9,1,prepare_hot_oatmeal,4.466,166.4495
1.1.9,2,prepare_a_bagel,168.89350000000002,355.2865
1.1.9,3,put_objects_in_drawers,371.28200000000004,390.54449999999997
1.1.9,4,prepare_yogurt_with_granola,391.82349999999997,484.6775
1.1.9,5,prepare_toast,486.106,619.918
1.1.9,6,prepare_milk,620.4185,645.1225
1.1.9,7,prepare_tea,647.758,727.5225
1.1.10,1,prepare_orange_juice,5.9245,35.419
1.1.10,2,prepare_tea,36.3645,204.2515
1.1.10,3,clean_a_surface,207.80849999999998,262.9875
1.1.10,4,prepare_toast,267.49199999999996,456.89250000000004
1.1.10,5,prepare_yogurt_with_granola,457.236,543.3655
1.1.10,6,prepare_a_bagel,546.7945,790.9915
1.1.10,7,prepare_hot_oatmeal,792.492,892.8565000000001
1.2.1,1,bicep_curls,6.859999999999999,83.3135
1.2.1,2,sit_ups,85.525,127.7935
1.2.1,3,eat_a_granola_bar,128.9185,180.32049999999998
1.2.1,4,drink_sport_drink,181.32049999999998,199.2025
1.2.1,5,do_stair_steps,201.048,266.748
1.2.1,6,jump_rope,268.127,357.031
1.2.1,7,clean_a_surface,358.90200000000004,435.32500000000005
1.2.2,1,torso_rotations,8.3145,66.4
1.2.2,2,eat_a_granola_bar,66.899,119.32050000000001
1.2.2,3,drink_sport_drink,119.65350000000001,145.5685
1.2.2,4,perform_jumping_jacks,148.13049999999998,222.0585
1.2.2,5,jump_rope,229.35500000000002,353.07349999999997
1.2.2,6,push_ups,360.17,462.0875
1.2.2,7,sit_ups,469.597,541.79
1.2.3,1,eat_a_granola_bar,6.153,56.6975
1.2.3,2,drink_sport_drink,57.2765,81.13
1.2.3,3,clean_a_surface,82.6255,151.488
1.2.3,4,bicep_curls,154.11700000000002,279.0635
1.2.3,5,push_ups,284.2135,340.463
1.2.3,6,perform_jumping_jacks,341.1705,428.13750000000005
1.2.3,7,do_stair_steps,440.89750000000004,580.384
1.2.4,1,sit_ups,6.651,94.16
1.2.4,2,shoulder_press,98.2805,211.47899999999998
1.2.4,3,put_objects_in_drawers,215.053,233.542
1.2.4,4,do_stair_steps,240.337,384.7415
1.2.4,5,perform_jumping_jacks,392.5275,478.54200000000003
1.2.4,6,eat_a_granola_bar,480.84950000000003,545.2065
1.2.4,7,drink_sport_drink,546.6469999999999,575.1925
1.2.5,1,push_ups,11.8885,60.804500000000004
1.2.5,2,sit_ups,68.7435,164.73950000000002
1.2.5,3,eat_a_granola_bar,167.7185,225.751
1.2.5,4,drink_sport_drink,226.1415,250.117
1.2.5,5,jump_rope,251.8075,361.0565
1.2.5,6,perform_jumping_jacks,372.151,449.097
1.2.5,7,take_objects_out_of_drawers,462.7085,477.7405
1.2.6,1,torso_rotations,8.383,78.2165
1.2.6,2,sit_ups,79.974,178.38400000000001
1.2.6,3,push_ups,192.387,245.664
1.2.6,4,do_stair_steps,252.6325,414.41499999999996
1.2.6,5,jump_rope,416.027,546.2595
1.2.6,6,eat_a_granola_bar,563.8865000000001,633.0274999999999
1.2.6,7,drink_sport_drink,633.511,669.3375
1.2.7,1,sit_ups,4.682,70.725
1.2.7,2,bicep_curls,72.56700000000001,164.4385
1.2.7,3,torso_rotations,166.44400000000002,230.486
1.2.7,4,do_stair_steps,231.9095,342.6115
1.2.7,5,jump_rope,343.6915,430.6725
1.2.7,6,drink_sport_drink,431.88,447.236
1.2.7,7,eat_a_granola_bar,447.81449999999995,487.242
1.2.8,1,sit_ups,11.225,76.9135
1.2.8,2,push_ups,82.70400000000001,139.218
1.2.8,3,look_at_text_message,143.0935,203.584
1.2.8,4,do_stair_steps,205.412,331.11199999999997
1.2.8,5,perform_jumping_jacks,338.752,410.549
1.2.8,6,drink_sport_drink,423.0895,469.019
1.2.8,7,eat_a_granola_bar,470.1645,536.1755
1.2.9,1,do_stair_steps,9.7345,153.708
1.2.9,2,perform_jumping_jacks,158.5645,243.933
1.2.9,3,put_objects_in_drawers,268.2345,290.5675
1.2.9,4,shoulder_press,305.7395,426.51800000000003
1.2.9,5,bicep_curls,440.80150000000003,568.9214999999999
1.2.9,6,drink_sport_drink,584.6775,615.912
1.2.9,7,eat_a_granola_bar,618.0705,673.2055
1.2.10,1,eat_a_granola_bar,13.1815,60.8245
1.2.10,2,drink_water,67.8445,105.3315
1.2.10,3,look_at_text_message,105.93,162.81
1.2.10,4,jump_rope,165.289,343.70050000000003
1.2.10,5,perform_jumping_jacks,366.15250000000003,450.3595
1.2.10,6,shoulder_press,484.913,585.5715
1.2.10,7,push_ups,599.218,670.9835
1.3.1,1,use_vacuum_attachment,4.9835,79.72800000000001
1.3.1,2,use_hand_duster,81.08500000000001,131.1225
1.3.1,3,take_objects_out_of_drawers,133.301,151.8875
1.3.1,4,put_cases_on_pillows,159.827,278.12
1.3.1,5,fold_blanket_or_comforter,278.73249999999996,341.74350000000004
1.3.1,6,fold_shirts_or_pants,342.55600000000004,480.5235
1.3.1,7,fold_socks,481.269,535.851
1.3.2,1,fold_blanket_or_comforter,8.915,68.37700000000001
1.3.2,2,put_on_bed_sheets,69.456,164.9295
1.3.2,3,look_at_text_message,166.192,296.35249999999996
1.3.2,4,vacuum_floor,298.098,407.4815
1.3.2,5,use_hand_duster,409.294,485.459
1.3.2,6,fold_socks,485.9495,583.12
1.3.2,7,fold_shirts_or_pants,584.3154999999999,660.4175
1.3.3,1,use_hand_duster,6.1594999999999995,53.7615
1.3.3,2,vacuum_floor,56.801500000000004,154.96800000000002
1.3.3,3,put_on_bed_sheets,157.0135,277.243
1.3.3,4,fold_blanket_or_comforter,277.738,333.1335
1.3.3,5,look_at_text_message,334.3455,400.78099999999995
1.3.3,6,fold_socks,401.6095,474.786
1.3.3,7,fold_shirts_or_pants,475.748,566.347
1.3.4,1,fold_blanket_or_comforter,9.794,58.5295
1.3.4,2,put_cases_on_pillows,59.4585,165.095
1.3.4,3,vacuum_floor,166.84050000000002,252.5495
1.3.4,4,use_hand_duster,253.89499999999998,302.0145
1.3.4,5,fold_socks,305.9435,383.8875
1.3.4,6,fold_shirts_or_pants,384.8665,501.176
1.3.4,7,look_at_text_message,502.855,575.3175
1.3.5,1,fold_shirts_or_pants,9.681000000000001,118.17699999999999
1.3.5,2,fold_socks,122.52799999999999,201.15550000000002
1.3.5,3,put_on_bed_sheets,202.5675,331.15700000000004
1.3.5,4,fold_blanket_or_comforter,332.1545,388.9095
1.3.5,5,use_hand_duster,393.0,464.29449999999997
1.3.5,6,use_vacuum_attachment,465.491,614.9855
1.3.5,7,clean_a_surface,617.814,705.6465000000001
1.3.6,1,fold_socks,7.7875,103.93
1.3.6,2,fold_shirts_or_pants,104.6155,281.32899999999995
1.3.6,3,look_at_text_message,284.736,345.1095
1.3.6,4,use_vacuum_attachment,346.8215,468.18100000000004
1.3.6,5,use_hand_duster,469.34299999999996,526.668
1.3.6,6,put_cases_on_pillows,528.575,605.9255
1.3.6,7,put_on_bed_sheets,607.021,723.9555
1.3.7,1,fold_socks,6.694,71.231
1.3.7,2,fold_towels,71.56,180.954
1.3.7,3,vacuum_floor,183.0495,287.5835
1.3.7,4,use_vacuum_attachment,287.86199999999997,399.0905
1.3.7,5,fold_blanket_or_comforter,400.35249999999996,447.578
1.3.7,6,put_on_bed_sheets,448.94,558.6925
1.3.7,7,take_a_pill,560.3544999999999,597.4245000000001
1.3.8,1,put_on_bed_sheets,9.004,96.2015
1.3.8,2,fold_blanket_or_comforter,97.28,151.03
1.3.8,3,use_hand_duster,154.32549999999998,206.9035
1.3.8,4,vacuum_floor,210.949,319.008
1.3.8,5,torso_rotations,322.47,372.93399999999997
1.3.8,6,fold_shirts_or_pants,373.97950000000003,488.082
1.3.8,7,fold_socks,489.06100000000004,548.712
1.3.9,1,use_hand_duster,7.464,72.6615
1.3.9,2,vacuum_floor,74.9735,191.92649999999998
1.3.9,3,fold_towels,194.75549999999998,303.683
1.3.9,4,fold_shirts_or_pants,305.04499999999996,435.6915
1.3.9,5,look_at_text_message,436.1205,538.1155
1.3.9,6,put_cases_on_pillows,539.511,612.363
1.3.9,7,put_on_bed_sheets,613.592,722.604
1.3.10,1,use_hand_duster,8.850999999999999,75.5515
1.3.10,2,vacuum_floor,77.697,182.0275
1.3.10,3,take_objects_out_of_drawers,198.286,227.6385
1.3.10,4,fold_shirts_or_pants,228.1005,370.6105
1.3.10,5,fold_towels,371.3395,458.15
1.3.10,6,fold_blanket_or_comforter,459.962,518.5195
1.3.10,7,put_cases_on_pillows,518.848,574.8965000000001
2.2.1,1,clean_a_surface,3.7110000000000003,46.132
2.2.1,2,shoulder_press,47.9275,116.04750000000001
2.2.1,3,bicep_curls,127.9495,257.3745
2.2.1,4,do_stair_steps,267.5825,373.49
2.2.1,5,perform_jumping_jacks,389.486,461.34299999999996
2.2.1,6,drink_water,472.56100000000004,518.9465
2.2.1,7,eat_a_granola_bar,519.4755,568.6
2.2.2,1,bicep_curls,9.530999999999999,96.74549999999999
2.2.2,2,push_ups,101.9195,177.99349999999998
2.2.2,3,perform_jumping_jacks,191.707,271.6995
2.2.2,4,do_stair_steps,288.558,384.47950000000003
2.2.2,5,clean_a_surface,387.70849999999996,445.0015
2.2.2,6,eat_a_granola_bar,446.147,499.2215
2.2.2,7,drink_water,499.55,541.28
2.2.3,1,shoulder_press,12.057500000000001,112.8135
2.2.3,2,push_ups,124.3815,191.0445
2.2.3,3,look_at_text_message,192.37349999999998,248.06
2.2.3,4,perform_jumping_jacks,256.0285,325.378
2.2.3,5,do_stair_steps,342.227,429.21349999999995
2.2.3,6,drink_sport_drink,432.392,484.552
2.2.3,7,eat_a_granola_bar,485.164,534.443
2.2.4,1,take_a_pill,9.1455,46.342
2.2.4,2,eat_a_granola_bar,46.671,88.896
2.2.4,3,drink_water,89.36449999999999,126.12899999999999
2.2.4,4,push_ups,128.54149999999998,194.6745
2.2.4,5,shoulder_press,197.67000000000002,306.5685
2.2.4,6,do_stair_steps,316.8025,412.6785
2.2.4,7,perform_jumping_jacks,427.409,497.087
2.2.5,1,shoulder_press,11.168,115.9565
2.2.5,2,bicep_curls,130.679,231.1045
2.2.5,3,look_at_text_message,232.58350000000002,279.9185
2.2.5,4,eat_a_granola_bar,280.1805,323.67150000000004
2.2.5,5,drink_water,324.18399999999997,360.9415
2.2.5,6,perform_jumping_jacks,374.16150000000005,448.4355
2.2.5,7,do_stair_steps,459.318,547.7625
2.2.6,1,perform_jumping_jacks,13.712,86.6285
2.2.6,2,do_stair_steps,101.756,191.8945
2.2.6,3,push_ups,201.889,237.804
2.2.6,4,bicep_curls,244.611,353.635
2.2.6,5,look_at_text_message,354.714,404.59749999999997
2.2.6,6,eat_a_granola_bar,405.0045,472.6055
2.2.6,7,drink_sport_drink,472.984,513.5805
2.2.7,1,shoulder_press,13.5215,115.7755
2.2.7,2,push_ups,120.754,155.72500000000002
2.2.7,3,eat_a_granola_bar,159.699,233.2235
2.2.7,4,drink_sport_drink,233.5755,282.33299999999997
2.2.7,5,take_objects_out_of_drawers,284.0235,308.676
2.2.7,6,perform_jumping_jacks,325.0765,412.98199999999997
2.2.7,7,do_stair_steps,420.539,556.251
2.2.8,1,perform_jumping_jacks,24.283,106.5735
2.2.8,2,do_stair_steps,110.186,214.74
2.2.8,3,look_at_text_message,217.40249999999997,288.5425
2.2.8,4,push_ups,292.8215,331.959
2.2.8,5,shoulder_press,336.741,444.262
2.2.8,6,drink_sport_drink,446.811,494.1075
2.2.8,7,eat_a_granola_bar,494.253,555.942
2.2.9,1,perform_jumping_jacks,20.6995,111.6325
2.2.9,2,do_stair_steps,114.578,247.1325
2.2.9,3,eat_a_granola_bar,251.2945,305.403
2.2.9,4,drink_water,305.2315,353.743
2.2.9,5,look_at_text_message,354.1165,409.3035
2.2.9,6,bicep_curls,412.9605,518.5835
2.2.9,7,shoulder_press,527.362,624.7090000000001
2.2.10,1,push_ups,14.3325,45.423
2.2.10,2,bicep_curls,49.3685,152.297
2.2.10,3,drink_water,154.50900000000001,202.5085
2.2.10,4,eat_a_granola_bar,203.054,268.367
2.2.10,5,put_objects_in_drawers,271.9125,293.616
2.2.10,6,perform_jumping_jacks,316.9715,403.0475
2.2.10,7,do_stair_steps,430.0395,573.0464999999999
2.3.1,1,use_hand_duster,5.0705,77.67150000000001
2.3.1,2,use_vacuum_attachment,78.662,148.175
2.3.1,3,clean_a_surface,149.127,206.5915
2.3.1,4,fold_shirts_or_pants,207.7705,317.9805
2.3.1,5,fold_socks,319.89250000000004,397.432
2.3.1,6,put_on_bed_sheets,398.994,490.716
2.3.1,7,put_cases_on_pillows,491.6115,549.6890000000001
2.3.2,1,torso_rotations,3.907,19.8005
2.3.2,2,use_vacuum_attachment,22.2625,109.118
2.3.2,3,use_hand_duster,110.5465,215.292
2.3.2,4,fold_socks,216.5875,287.538
2.3.2,5,fold_shirts_or_pants,289.0985,412.9375
2.3.2,6,put_on_bed_sheets,413.928,466.6625
2.3.2,7,put_cases_on_pillows,467.808,534.491
2.3.3,1,put_cases_on_pillows,4.491,79.291
2.3.3,2,put_on_bed_sheets,81.13,149.69549999999998
2.3.3,3,fold_shirts_or_pants,151.0075,290.02049999999997
2.3.3,4,fold_socks,291.6995,358.3115
2.3.3,5,look_at_text_message,358.9405,437.474
2.3.3,6,vacuum_floor,438.086,580.6055
2.3.3,7,use_hand_duster,581.446,680.489
2.3.4,1,take_objects_out_of_drawers,4.948,32.507
2.3.4,2,vacuum_floor,33.219,169.65449999999998
2.3.4,3,use_hand_duster,170.928,275.3525
2.3.4,4,put_cases_on_pillows,276.798,337.1605
2.3.4,5,fold_blanket_or_comforter,339.173,393.7715
2.3.4,6,fold_socks,394.467,470.1855
2.3.4,7,fold_shirts_or_pants,471.698,577.8945
2.3.5,1,fold_towels,4.3309999999999995,60.3215
2.3.5,2,fold_socks,61.8505,130.477
2.3.5,3,take_a_pill,131.1225,156.726
2.3.5,4,use_vacuum_attachment,158.6205,228.7385
2.3.5,5,use_hand_duster,229.963,338.97299999999996
2.3.5,6,put_cases_on_pillows,340.33000000000004,417.8615
2.3.5,7,put_on_bed_sheets,420.057,485.2825
2.3.6,1,fold_towels,3.859,53.2445
2.3.6,2,fold_shirts_or_pants,55.0065,173.637
2.3.6,3,use_hand_duster,174.5825,282.2405
2.3.6,4,vacuum_floor,282.56949999999995,411.7595
2.3.6,5,clean_a_surface,412.3335,479.062
2.3.6,6,fold_blanket_or_comforter,480.0905,540.8544999999999
2.3.6,7,put_on_bed_sheets,542.1825,623.076
2.3.7,1,look_at_text_message,5.9485,50.3895
2.3.7,2,fold_towels,52.9505,117.101
2.3.7,3,fold_shirts_or_pants,120.5975,278.871
2.3.7,4,fold_blanket_or_comforter,281.394,325.582
2.3.7,5,put_on_bed_sheets,326.69,423.141
2.3.7,6,vacuum_floor,436.818,567.0865
2.3.7,7,use_vacuum_attachment,568.1165000000001,618.1085
2.3.8,1,fold_shirts_or_pants,4.717,124.1515
2.3.8,2,fold_towels,125.8135,185.01600000000002
2.3.8,3,use_vacuum_attachment,187.4955,259.07899999999995
2.3.8,4,vacuum_floor,259.8575,379.14549999999997
2.3.8,5,clean_a_surface,381.251,470.322
2.3.8,6,put_on_bed_sheets,472.2175,536.2584999999999
2.3.8,7,fold_blanket_or_comforter,537.124,577.2565
2.3.9,1,take_a_pill,10.0915,35.769
2.3.9,2,fold_blanket_or_comforter,37.098,93.538
2.3.9,3,put_cases_on_pillows,94.167,148.78199999999998
2.3.9,4,use_vacuum_attachment,150.344,205.656
2.3.9,5,use_hand_duster,206.28449999999998,265.0765
2.3.9,6,fold_towels,266.15549999999996,301.4205
2.3.9,7,fold_shirts_or_pants,302.0675,393.7505
2.3.10,1,clean_a_surface,4.7255,49.620000000000005
2.3.10,2,vacuum_floor,50.1325,164.219
2.3.10,3,use_hand_duster,165.0675,212.2525
2.3.10,4,put_cases_on_pillows,214.09699999999998,265.37
2.3.10,5,fold_blanket_or_comforter,266.3935,317.08500000000004
2.3.10,6,fold_shirts_or_pants,317.514,445.9395
2.3.10,7,fold_socks,447.8185,509.712
2.4.1,1,shave_face,8.918,223.591
2.4.1,2,wash_face,224.42000000000002,332.012
2.4.1,3,put_objects_in_drawers,332.2855,358.0775
2.4.1,4,comb_hair,358.75649999999996,400.786
2.4.1,5,floss_teeth,401.6485,578.8855
2.4.1,6,use_mouthwash,579.0975000000001,635.961
2.4.2,1,take_objects_out_of_drawers,7.638999999999999,35.8925
2.4.2,2,wash_face,37.783,158.9095
2.4.2,3,shave_face,159.7885,346.3935
2.4.2,4,brush_teeth,347.18899999999996,500.7085
2.4.2,5,apply_chapstick,501.5705,512.0785000000001
2.4.2,6,brush_hair,522.5475,571.1535
2.4.3,1,clean_a_surface,6.4055,69.12700000000001
2.4.3,2,brush_teeth,70.1675,224.0455
2.4.3,3,use_mouthwash,224.24099999999999,274.0575
2.4.3,4,shave_face,276.903,475.37350000000004
2.4.3,5,wash_face,476.374,594.5665
2.4.3,6,brush_hair,594.9905,638.2860000000001
2.4.4,1,brush_teeth,7.352500000000001,163.8715
2.4.4,2,use_mouthwash,164.017,215.248
2.4.4,3,comb_hair,216.16,264.1665
2.4.4,4,wash_face,265.1735,397.825
2.4.4,5,apply_lotion,398.10400000000004,459.6945
2.4.4,6,look_at_text_message,460.4065,534.335
2.4.5,1,brush_teeth,7.0344999999999995,159.89499999999998
2.4.5,2,use_mouthwash,159.9355,212.07549999999998
2.4.5,3,shave_face,215.61599999999999,425.396
2.4.5,4,wash_face,426.02,537.8015
2.4.5,5,comb_hair,538.4635000000001,583.189
2.4.5,6,clean_a_surface,585.2345,640.7325
2.4.6,1,brush_teeth,6.047000000000001,159.44549999999998
2.4.6,2,floss_teeth,159.64100000000002,349.5395
2.4.6,3,shave_face,352.275,506.5205
2.4.6,4,apply_lotion,506.933,564.0889999999999
2.4.6,5,brush_hair,564.9515,603.0165
2.4.6,6,clean_a_surface,606.1735,683.7495
2.4.7,1,put_objects_in_drawers,9.6665,28.2205
2.4.7,2,brush_hair,29.216,68.33
2.4.7,3,wash_face,68.809,176.939
2.4.7,4,shave_face,177.4345,328.1705
2.4.7,5,use_mouthwash,328.416,385.75
2.4.7,6,apply_chapstick,386.5355,412.3085
2.4.8,1,shave_face,7.637499999999999,170.416
2.4.8,2,apply_lotion,171.0615,219.2975
2.4.8,3,torso_rotations,219.8265,239.59199999999998
2.4.8,4,floss_teeth,240.1025,411.66949999999997
2.4.8,5,apply_chapstick,412.5435,436.5105
2.4.8,6,brush_hair,437.405,483.0095
2.4.9,1,wash_face,6.5745000000000005,107.3255
2.4.9,2,shave_face,108.05449999999999,267.5275
2.4.9,3,take_objects_out_of_drawers,267.906,291.81100000000004
2.4.9,4,comb_hair,294.2065,354.04449999999997
2.4.9,5,brush_teeth,354.79,505.505
2.4.9,6,use_mouthwash,505.717,559.3924999999999
2.4.10,1,floss_teeth,6.6395,176.1855
2.4.10,2,use_mouthwash,176.34750000000003,229.9855
2.4.10,3,take_a_pill,230.1975,252.2015
2.4.10,4,brush_hair,253.3635,294.8565
2.4.10,5,wash_face,295.1635,411.168
2.4.10,6,apply_lotion,411.63,459.707
3.1.1,1,prepare_fresh_fruit,4.098,51.147999999999996
3.1.1,2,prepare_toast,52.4935,212.0085
3.1.1,3,prepare_cereal,214.4205,287.806
3.1.1,4,prepare_a_bagel,291.985,443.82349999999997
3.1.1,5,prepare_orange_juice,444.28599999999994,478.38599999999997
3.1.1,6,prepare_milk,479.0365,516.8575
3.1.1,7,put_objects_in_drawers,520.3695,537.917
3.1.2,1,prepare_instant_coffee,3.9699999999999998,152.958
3.1.2,2,prepare_milk,154.132,185.11700000000002
3.1.2,3,prepare_a_bagel,187.4905,316.55100000000004
3.1.2,4,prepare_cereal,318.1115,405.6015
3.1.2,5,prepare_yogurt_with_granola,408.897,518.538
3.1.2,6,prepare_toast,519.6334999999999,635.9705
3.1.2,7,look_at_text_message,636.816,659.1725
3.1.3,1,put_objects_in_drawers,4.917,21.162
3.1.3,2,prepare_fresh_fruit,22.323999999999998,69.8265
3.1.3,3,prepare_yogurt_with_granola,69.827,169.98700000000002
3.1.3,4,prepare_a_bagel,171.281,342.7595
3.1.3,5,prepare_cereal,342.8425,416.422
3.1.3,6,prepare_milk,418.584,462.817
3.1.3,7,prepare_tea,463.6625,569.4639999999999
3.1.4,1,prepare_fresh_fruit,4.155,72.381
3.1.4,2,prepare_tea,73.3095,144.99349999999998
3.1.4,3,take_objects_out_of_drawers,146.1055,162.8665
3.1.4,4,prepare_toast,163.945,289.65250000000003
3.1.4,5,prepare_yogurt_with_granola,290.593,399.3745
3.1.4,6,prepare_hot_oatmeal,400.347,495.25
3.1.4,7,prepare_a_bagel,496.412,666.3275
3.1.5,1,prepare_toast,4.941,131.69400000000002
3.1.5,2,prepare_yogurt_with_granola,132.856,230.949
3.1.5,3,prepare_hot_oatmeal,232.1775,322.527
3.1.5,4,prepare_a_bagel,322.998,477.345
3.1.5,5,put_objects_in_drawers,478.71799999999996,502.90250000000003
3.1.5,6,prepare_milk,505.13149999999996,544.677
3.1.5,7,prepare_instant_coffee,548.1225,635.2705
3.1.6,1,prepare_fresh_fruit,12.189499999999999,66.4785
3.1.6,2,prepare_yogurt_with_granola,67.724,174.0035
3.1.6,3,prepare_a_bagel,174.732,334.477
3.1.6,4,prepare_cereal,336.18899999999996,409.621
3.1.6,5,prepare_milk,411.233,442.919
3.1.6,6,prepare_instant_coffee,444.7975,582.136
3.1.6,7,torso_rotations,582.4100000000001,589.504
3.1.7,1,prepare_yogurt_with_granola,6.4005,98.029
3.1.7,2,prepare_fresh_fruit,99.28649999999999,142.27499999999998
3.1.7,3,torso_rotations,143.4325,155.53449999999998
3.1.7,4,prepare_milk,156.23000000000002,195.95749999999998
3.1.7,5,prepare_instant_coffee,198.9195,398.228
3.1.7,6,prepare_cereal,400.1065,474.1675
3.1.7,7,prepare_a_bagel,474.39649999999995,648.0855
3.1.8,1,take_objects_out_of_drawers,4.695,20.247
3.1.8,2,prepare_tea,21.387500000000003,84.0165
3.1.8,3,prepare_orange_juice,85.1955,123.6685
3.1.8,4,prepare_fresh_fruit,125.01400000000001,204.563
3.1.8,5,prepare_toast,204.892,329.59299999999996
3.1.8,6,prepare_a_bagel,330.988,493.2595
3.1.8,7,prepare_cereal,494.8385,566.5015000000001
3.1.9,1,prepare_fresh_fruit,4.2684999999999995,64.89099999999999
3.1.9,2,prepare_yogurt_with_granola,66.53649999999999,166.0215
3.1.9,3,prepare_orange_juice,167.4735,213.6875
3.1.9,4,prepare_tea,216.5,302.771
3.1.9,5,prepare_a_bagel,303.1335,458.679
3.1.9,6,prepare_hot_oatmeal,459.95799999999997,574.2114999999999
3.1.9,7,take_a_pill,576.114,612.0
3.1.10,1,prepare_orange_juice,3.965,37.328
3.1.10,2,prepare_milk,38.212,74.2955
3.1.10,3,prepare_toast,75.4745,202.9955
3.1.10,4,prepare_yogurt_with_granola,202.996,300.651
3.1.10,5,prepare_a_bagel,301.501,455.16999999999996
3.1.10,6,prepare_cereal,455.9155,532.3895
3.1.10,7,take_objects_out_of_drawers,534.952,551.616
3.3.1,1,fold_socks,5.992,83.04050000000001
3.3.1,2,take_objects_out_of_drawers,86.6695,116.8245
3.3.1,3,put_on_bed_sheets,120.348,189.3375
3.3.1,4,fold_towels,192.8995,259.8655
3.3.1,5,use_hand_duster,263.144,299.8265
3.3.1,6,use_vacuum_attachment,300.62649999999996,424.4105
3.3.1,7,put_cases_on_pillows,429.3895,622.4465
3.3.2,1,clean_a_surface,6.026,75.613
3.3.2,2,fold_towels,78.525,149.55349999999999
3.3.2,3,vacuum_floor,153.966,226.0725
3.3.2,4,put_cases_on_pillows,227.5115,410.9305
3.3.2,5,put_on_bed_sheets,412.0095,492.505
3.3.2,6,fold_socks,493.2835,562.6965
3.3.2,7,use_vacuum_attachment,565.8755,698.2935
3.3.3,1,fold_shirts_or_pants,5.9145,165.21
3.3.3,2,fold_blanket_or_comforter,166.089,202.531
3.3.3,3,look_at_text_message,203.7765,218.93
3.3.3,4,put_on_bed_sheets,221.1585,277.23199999999997
3.3.3,5,fold_towels,280.806,353.509
3.3.3,6,vacuum_floor,354.488,416.764
3.3.3,7,use_vacuum_attachment,417.14300000000003,550.3025
3.3.4,1,use_vacuum_attachment,5.8645000000000005,90.9175
3.3.4,2,use_hand_duster,94.875,127.79050000000001
3.3.4,3,fold_blanket_or_comforter,128.21949999999998,171.35750000000002
3.3.4,4,fold_socks,174.1365,242.122
3.3.4,5,fold_shirts_or_pants,242.9505,371.6195
